,SYMBOL,Gene,Feature
312,AC009228.1,ENSG00000242628,ENST00000413254
313,ITSN2,ENSG00000198399,ENST00000355123
314,ITSN2,ENSG00000198399,ENST00000622089
315,ITSN2,ENSG00000198399,ENST00000478720
316,LHCGR,ENSG00000138039,ENST00000405626
317,GTF2A1L,ENSG00000242441,ENST00000508440
318,LHCGR,ENSG00000138039,ENST00000294954
319,LHCGR,ENSG00000138039,ENST00000403273
320,LHCGR,ENSG00000138039,ENST00000401907
321,LHCGR,ENSG00000138039,ENST00000477576
322,RP11-310N16.1,ENSG00000279956,ENST00000602369
323,STON1-GTF2A1L,ENSG00000068781,ENST00000402114
324,PLRG1,ENSG00000171566,ENST00000506192
325,PLRG1,ENSG00000171566,ENST00000512719
326,PLRG1,ENSG00000171566,ENST00000503751
327,PLRG1,ENSG00000171566,ENST00000506918
328,PLRG1,ENSG00000171566,ENST00000515520
329,PLRG1,ENSG00000171566,ENST00000302078
330,RNU6-1285P,ENSG00000200350,ENST00000363480
331,PLRG1,ENSG00000171566,ENST00000499023
332,PLRG1,ENSG00000171566,ENST00000504341
333,PLRG1,ENSG00000171566,ENST00000509975
334,DMXL1,ENSG00000172869,ENST00000504031
335,DMXL1,ENSG00000172869,ENST00000514151
336,DMXL1,ENSG00000172869,ENST00000539542
337,DMXL1,ENSG00000172869,ENST00000311085
338,RP11-950K24.2,ENSG00000248885,ENST00000513820
339,DMXL1,ENSG00000172869,ENST00000503802
340,G3BP1,ENSG00000145907,ENST00000522761
341,G3BP1,ENSG00000145907,ENST00000356245
342,G3BP1,ENSG00000145907,ENST00000394123
343,G3BP1,ENSG00000145907,ENST00000520177
344,G3BP1,ENSG00000145907,ENST00000522666
345,HIST1H1E,ENSG00000168298,ENST00000304218
346,HIST1H2BD,ENSG00000158373,ENST00000377777
347,HIST1H2BD,ENSG00000158373,ENST00000289316
348,,,ENSR00002050423
349,DNAH8,ENSG00000124721,ENST00000359357
350,DNAH8,ENSG00000124721,ENST00000327475
351,DNAH8,ENSG00000124721,ENST00000449981
352,DAAM2,ENSG00000146122,ENST00000398904
353,DAAM2,ENSG00000146122,ENST00000274867
354,DAAM2,ENSG00000146122,ENST00000538976
355,DAAM2,ENSG00000146122,ENST00000494405
356,DNAH11,ENSG00000105877,ENST00000465129
357,DNAH11,ENSG00000105877,ENST00000328843
358,DNAH11,ENSG00000105877,ENST00000409508
359,DNAH11,ENSG00000105877,ENST00000620169
360,RP11-416N13.1,ENSG00000224172,ENST00000422823
361,CD36,ENSG00000135218,ENST00000435819
362,GNAT3,ENSG00000214415,ENST00000398291
363,AKAP9,ENSG00000127914,ENST00000356239
364,AKAP9,ENSG00000127914,ENST00000493453
365,AKAP9,ENSG00000127914,ENST00000484815
366,AKAP9,ENSG00000127914,ENST00000359028
367,AKAP9,ENSG00000127914,ENST00000358100
368,AKAP9,ENSG00000127914,ENST00000619023
369,HBP1,ENSG00000105856,ENST00000222574
370,HBP1,ENSG00000105856,ENST00000461963
371,HBP1,ENSG00000105856,ENST00000485846
372,HBP1,ENSG00000105856,ENST00000468410
373,HBP1,ENSG00000105856,ENST00000463202
374,HBP1,ENSG00000105856,ENST00000479011
375,HBP1,ENSG00000105856,ENST00000498408
376,HBP1,ENSG00000105856,ENST00000497535
377,HBP1,ENSG00000105856,ENST00000464009
378,HBP1,ENSG00000105856,ENST00000478930
379,HBP1,ENSG00000105856,ENST00000483809
380,ADAM24P,ENSG00000214607,ENST00000398655
381,BMP1,ENSG00000168487,ENST00000518913
382,BMP1,ENSG00000168487,ENST00000517324
383,BMP1,ENSG00000168487,ENST00000523749
384,BMP1,ENSG00000168487,ENST00000521385
385,BMP1,ENSG00000168487,ENST00000471755
386,BMP1,ENSG00000168487,ENST00000520970
387,BMP1,ENSG00000168487,ENST00000520626
388,BMP1,ENSG00000168487,ENST00000354870
389,BMP1,ENSG00000168487,ENST00000522332
390,BMP1,ENSG00000168487,ENST00000520982
391,BMP1,ENSG00000168487,ENST00000306385
392,BMP1,ENSG00000168487,ENST00000523457
393,BMP1,ENSG00000168487,ENST00000483364
394,BMP1,ENSG00000168487,ENST00000306349
395,VLDLR,ENSG00000147852,ENST00000382099
396,VLDLR,ENSG00000147852,ENST00000382100
397,VLDLR-AS1,ENSG00000236404,ENST00000599229
398,VLDLR,ENSG00000147852,ENST00000382096
399,VLDLR,ENSG00000147852,ENST00000478776
400,SLC2A6,ENSG00000160326,ENST00000371897
