#node	identifier	node_degree
HEATR5B	9606.ENSP00000233099	2
HECTD4	9606.ENSP00000366783	2
HECW2	9606.ENSP00000260983	2
HEY1	9606.ENSP00000338272	8
HK1	9606.ENSP00000494664	8
HKDC1	9606.ENSP00000346643	5
HLA-B	9606.ENSP00000399168	28
HLA-C	9606.ENSP00000365402	23
HLA-DRB1	9606.ENSP00000353099	31
HLA-DRB5	9606.ENSP00000364114	20
HLTF	9606.ENSP00000308944	13
HMGCL	9606.ENSP00000363614	17
HNF1A	9606.ENSP00000438804	7
HORMAD2	9606.ENSP00000385055	8
HPS4	9606.ENSP00000381213	4
HSD17B10	9606.ENSP00000168216	11
HSPA13	9606.ENSP00000285667	7
HSPG2	9606.ENSP00000363827	23
HYDIN	9606.ENSP00000377197	13
IARS1	9606.ENSP00000364794	11
ID1	9606.ENSP00000365280	5
IFI16	9606.ENSP00000357113	13
IFI6	9606.ENSP00000342513	3
IFITM10	9606.ENSP00000344430	1
IKBIP	9606.ENSP00000299157	2
IKBKE	9606.ENSP00000464030	11
IL11	9606.ENSP00000264563	9
IL16	9606.ENSP00000302935	8
IL1RAPL2	9606.ENSP00000361663	2
IL27	9606.ENSP00000349365	3
IL2RB	9606.ENSP00000216223	24
IMPA2	9606.ENSP00000269159	3
INAFM1	9606.ENSP00000447679	1
INPP5K	9606.ENSP00000413937	7
INTS3	9606.ENSP00000318641	4
INTS6L	9606.ENSP00000491427	2
IQCE	9606.ENSP00000480715	0
IQGAP1	9606.ENSP00000268182	31
IQGAP2	9606.ENSP00000274364	9
IRGQ	9606.ENSP00000387535	1
IRS1	9606.ENSP00000304895	37
ITGA10	9606.ENSP00000358310	15
ITGAD	9606.ENSP00000373854	4
ITGAE	9606.ENSP00000263087	13
ITGAL	9606.ENSP00000349252	18
ITGAM	9606.ENSP00000496959	42
ITIH4	9606.ENSP00000266041	10
ITIH5	9606.ENSP00000380333	0
ITPR2	9606.ENSP00000370744	16
ITPR3	9606.ENSP00000363435	22
ITPRID1	9606.ENSP00000395835	1
ITSN2	9606.ENSP00000347244	24
IZUMO1	9606.ENSP00000327786	1
JAZF1	9606.ENSP00000283928	9
JKAMP	9606.ENSP00000450749	2
JMJD1C	9606.ENSP00000382204	5
JMY	9606.ENSP00000379441	5
KALRN	9606.ENSP00000240874	11
KANSL1L	9606.ENSP00000281772	4
KAT2B	9606.ENSP00000263754	39
KATNB1	9606.ENSP00000368982	1
KCNH3	9606.ENSP00000257981	9
KCNIP1	9606.ENSP00000414886	4
KCNIP4	9606.ENSP00000371587	3
KCNJ13	9606.ENSP00000233826	5
KCNJ6	9606.ENSP00000477437	3
KCNK1	9606.ENSP00000355580	3
KCNK16	9606.ENSP00000391498	4
KCNK17	9606.ENSP00000362328	3
KCNQ2	9606.ENSP00000352035	26
KCNQ3	9606.ENSP00000373648	20
KCTD8	9606.ENSP00000353129	0
KDM4C	9606.ENSP00000370710	8
