"","atr01","atr02","atr03","gas01","gas02"
"SPSB1",43,6,29,18,6
"SPSB2",9,4,12,6,14
"SPSB3",50,18,37,45,27
"SPSB4",0,0,0,2,0
"SPTA1",0,0,0,1,0
"SPTAN1",2409,696,1896,1543,1317
"SPTB",21,6,19,18,20
"SPTBN1",5968,2109,4837,5136,3903
"SPTBN2",47,15,34,35,31
"SPTBN4",6,3,8,3,1
"SPTBN5",16,16,14,17,17
"SPTLC1",495.64,95,625,490,340.01
"SPTLC2",1662.02,303.33,1549.01,1313,985
"SPTLC3",81,18,113,108,67
"SPTSSA",161.01,51,113,191.11,73.99
"SPTSSB",675,151,1116,665,865
"SPTY2D1",560.57,125.84,465.28,461.44,343.47
"SPTY2D1-AS1",1.44,1.16,2.72,3.56,3.53
"SPX",0,0,0,0,0
"SPZ1",0,0,0,0,0
"SQLE",341,33,319,217,104
"SQRDL",362,93,410,278,365
"SQSTM1",908.61,237.63,873.48,697.64,509.8
"SRA1",83,35,93,56,54
"SRBD1",293,113,284,305,180
"SRC",345,104,250,288,270
"SRCAP",782,332,521,611,533
"SRCIN1",7,4,3,2,7
"SRD5A1",66,12,66,41,26
"SRD5A1P1",1,0,0,0,0
"SRD5A2",2,0,1,6,0
"SRD5A3",159.84,27.02,178.08,130,97.32
"SRD5A3-AS1",4,0,4,0,0
"SREBF1",117,52,166,95,75
"SREBF2",675,218,590,513,419
"SREK1",1031,416,996,938,604
"SREK1IP1",291.02,74.69,230,244.02,158.07
"SRF",112,23,112,93,53
"SRFBP1",174,34,186,148,93
"SRGAP1",344.22,79.98,262.06,197.16,138.8
"SRGAP2",189,27.36,119.25,96.38,100.51
"SRGAP2-AS1",23,9,22,16,8
"SRGAP2B",309.1,64.95,341.51,204.79,129.79
"SRGAP2C",70.11,46.59,101.31,83.82,75.59
"SRGAP2D",65.67,1.1,25.94,11.63,6.11
"SRGAP3",100,66,102,80,76
"SRGAP3-AS3",4,2,1,0,1
"SRGN",363,24,325,210,130
"SRI",235,39,255,166,120
"SRL",2,0,0,2,0
"SRM",46,3,27,17,18
"SRMS",27,4,20,0,9
"SRP14",648,174,670,664,413
"SRP14-AS1",31.66,13,8,22.01,12
"SRP19",231.91,33.95,221.48,159.92,106.52
"SRP54",709,110,597,512,321
"SRP68",421.11,99,247,251,257
"SRP72",815,134,724,718,391
"SRP9",1105,219,1297,880,666
"SRPK1",817,122,687,471,400
"SRPK2",428,131,443,412,275
"SRPK3",13,0,2,2,3
"SRPR",937,213,808,642,443
"SRPRB",308,47,251,179,144
"SRPX",64,9,32,57,23
"SRPX2",37,5,20,17,11
"SRR",55.56,6.99,24.03,41.78,20.94
"SRRD",41,9,38,26,17
"SRRM1",1120.77,356.4,932.92,723.27,672.57
"SRRM2",7366,3709,4797,5755,5350
"SRRM2-AS1",1.6,5.1,3,2.05,1
"SRRM3",0,0,0,0,3
"SRRM4",7,5,6,6,4
"SRRM5",15.52,7.7,18.61,3.28,6.97
"SRRT",290,109,262,213,167
"SRSF1",2111,616,1902,1516,1218
"SRSF10",754.59,223.65,726.03,680.25,475.48
"SRSF11",1244,510,1215,1103,796
"SRSF12",24,1,33.04,27,14
"SRSF2",713,149,531,466,294
"SRSF3",1351,262,1241,845,663
"SRSF4",510,132,438,325,350
"SRSF5",854.51,329.98,1037.98,829,734.93
"SRSF6",1313,516,1478,1576,1009
"SRSF7",623,167,559,417,299
"SRSF8",264.39,69.82,250.69,248.84,167.87
"SRSF9",219.45,45.89,157.3,148.35,213.07
"SRXN1",143,37,131,111,147
"SRY",0,0,0,0,0
"SS18",748.1,157.26,733.82,593.71,385.22
"SS18L1",162.36,53.2,105.24,159.2,83.3
"SS18L2",32,5,42,25,15
"SSB",581,141,525,409,362
"SSBP1",360,45,375,210,195
"SSBP2",135,24,136,137,44
"SSBP3",199,80,182,262,240
"SSBP3-AS1",45,26,29,69,33
"SSBP4",28,8,15,17,14
"SSC4D",0,0,0,0,0
"SSC5D",36,9,9,17,27
"SSFA2",2123,753,2106,2101,1474
"SSH1",339.1,87.98,277.06,253,174.26
"SSH2",633,153,606,419,372
"SSH3",74,34,76,68,51
"SSMEM1",0,0,0,0,0
"SSNA1",29,8,19,19,15
"SSPN",152,21,167,120,58
"SSPO",1,2,1,3,4
"SSR1",1928.11,367.23,1449.74,1469.79,876.34
"SSR2",400,62,247,278,217
"SSR3",1767.42,303.23,1456.15,1249.22,738.01
"SSR4",412,62,276,202,192
"SSR4P1",4,0,3,0,1
"SSRP1",504,103,506,323,338
"SSSCA1",22,6,17,16,10
"SSSCA1-AS1",10,7,8,8,4
"SST",183,4,177,85,36
"SSTR1",106,41,95,133,140
"SSTR2",9.01,6,17.04,10,5.97
"SSTR3",6,0,8,11,1
"SSTR4",0,0,0,0,0
"SSTR5",0,0,0,0,0
"SSTR5-AS1",4,0,2,2,0
"SSU72",239,67,281,216,127
"SSUH2",0,1,0,1,0
"SSX1",0,0,0,0,0
"SSX2",0,0,0,0,0
"SSX2B",0,0,0,0,0
"SSX2IP",193,32,215,195,128
"SSX3",0,0,0,0,0
"SSX4",1.13,0,0,0,0
"SSX4B",0,0,0,0,0
"SSX5",0.87,0,0,0,0
"SSX6",0,0,0,2,0
"SSX7",0,0,0,0,0
"SSX8",0,0,1,0,0
"SSX9",0,0,0,1,0
"ST13",1417.42,331,1677.43,1418,947.93
"ST13P4",5.58,0,0.57,0,5.07
"ST14",472,101,529,333,366
"ST18",36,22,69,32,13
"ST20",20.38,1,11.55,10.61,10.89
"ST20-AS1",5.62,0,10.45,3.39,1.11
"ST20-MTHFS",0,16.35,0,0,3.12
"ST3GAL1",243,181,212,420.01,268
"ST3GAL2",76,20,57,41.99,29
"ST3GAL3",11,9,23,13,6
"ST3GAL4",43,9,7,14,12
"ST3GAL4-AS1",2,1,0,0,1
"ST3GAL5",119,14,113,68,47
"ST3GAL5-AS1",5,2,6,6,4
"ST3GAL6",101,37,80,92,107
"ST3GAL6-AS1",0,0,0,0,0
"ST5",296,180,272,317,257
"ST6GAL1",967,111,762,453,263
"ST6GAL2",7.48,13.47,8.01,20.51,14.02
"ST6GALNAC1",365,212,731,596,459
"ST6GALNAC2",34,17,31,49,48
"ST6GALNAC3",55,10,50,70,12
"ST6GALNAC4",37,4,23,14,20
"ST6GALNAC5",8,2,5,5,1
"ST6GALNAC6",50,11,33,34,23
"ST7",105.97,46,82.99,97.91,76.73
"ST7-AS1",3.03,0,1.01,4.09,7.21
"ST7-AS2",11,7,9,15,11
"ST7-OT3",0,0,0,0,1.07
"ST7-OT4",11,4,8,9,9
"ST7L",159,34,148,153,54
"ST8SIA1",88.6,15.01,81.63,51.69,28.38
"ST8SIA2",3,0,0,0,0
"ST8SIA3",7,1,11,16,3
"ST8SIA4",402.06,46.06,383.49,259.95,146.18
"ST8SIA5",0,1,0,0,1
"ST8SIA6",1,0,2,1,1
"ST8SIA6-AS1",1,0,0,1,0
"STAB1",531.13,75,302.57,271.07,161
"STAB2",4,1,9,0,2
"STAC",2,0,5,2,0
"STAC2",11.13,1.68,2.16,3.38,1.38
"STAC3",12,3,7,8,4
"STAG1",704,210,645,528,372
"STAG2",1562,294,1598,1312,849
"STAG3",11.28,0,5.19,4.04,2
"STAG3L1",41.75,17.92,27.88,28.59,6.16
"STAG3L2",149.65,75.8,134.83,77.73,59.53
"STAG3L3",46.41,39.27,34.17,59.58,42.21
"STAG3L4",65,24,69,50,27
"STAG3L5P",22.36,12,22.76,15.22,8.22
"STAG3L5P-PVRIG2P-PILRB",232.55,128.49,188.4,206.83,156.77
"STAM",237,92,222,233,146
"STAM-AS1",3,3,8,5,5
"STAM2",666,194,793,774,446
"STAMBP",334,102,332,325,227
"STAMBPL1",138,26,105,66,56
"STAP1",84,2,91,36,19
"STAP2",76,16,71.01,47,55.37
"STAR",12.1,4,14.1,13.68,13.87
"STARD10",341,139,368,354,309
"STARD13",166,83,133,217,165
"STARD13-AS",1,1,1,5,4
"STARD3",95,26,93,69,84
"STARD3NL",193,38,126,146,73
"STARD4",632,90,721,501,340
"STARD4-AS1",69.33,52.21,68.35,127.41,97.54
"STARD5",21,4,17,13,22
"STARD6",0,0,0,0,0
"STARD7",927.96,188.89,861,743.88,588.97
"STARD7-AS1",13.04,8.11,15,17.12,15.03
"STARD8",30,4,21,21,14
"STARD9",247,97,144,154,76
"STAT1",1064,262,1385,1318,1947
"STAT2",675.51,178.06,593.12,497.14,549.19
"STAT3",1123.82,208.83,947.89,793.39,521.89
"STAT4",70,26,67,65,29
"STAT5A",153.17,24.19,141.34,86.54,65.37
"STAT5B",327.83,91.81,272.66,265.46,140.63
"STAT6",803,245,850,697,645
"STATH",0,0,0,0,0
"STAU1",891,292,867,720,759
"STAU2",389,144,345,347,233
"STAU2-AS1",14.71,12.96,9.3,12.84,22.61
"STBD1",139.19,15.56,192.15,118.27,111.98
"STC1",18,19,7,29,12
"STC2",2,7,1,3,1
"STEAP1",96.38,12,78,50.64,22
"STEAP1B",1.62,0,1,0.36,0
"STEAP2",505.38,88.05,490.64,350.46,178.15
"STEAP2-AS1",2,0,0,0,0
"STEAP3",259.67,99.59,232.23,219.41,181.04
"STEAP3-AS1",21.33,4.41,12.77,26.59,28.96
"STEAP4",105,19,55,90,32
"STH",0,0,0,0,0
"STIL",117.11,27,123.03,55.02,60
"STIM1",262,78,193,205,221
"STIM2",412,80,474,360,246
"STIP1",559,109,485,325,266
"STK10",386.14,93.08,320.51,199.24,173.77
"STK11",146,68,114,95,110
"STK11IP",41,10,26,17,14
"STK16",47.24,20.8,47.94,47.31,42.27
"STK17A",559,104,640,409,329
"STK17B",1881.12,218.14,1745.23,961.86,558.65
"STK19",18.22,17,31,22,22
"STK24",1321,211,1454,1012,921
"STK25",166,73,167.39,162.33,108
"STK26",415,54,491,262,227
"STK3",115,36,126,114,58
"STK31",16,6,12,12,7
"STK32A",21,12,11,16,3
"STK32B",27,20,28,75,18
"STK32C",2,3,4,2,2
"STK33",58,31,68,62,38
"STK35",287,48,149,185,192
"STK36",94,36,73,99,59
"STK38",763,145,666,462,469
"STK38L",940,91,943,611,230
"STK39",876,195,769,717,656
"STK4",1165.93,138.96,1005,751,497.8
"STK4-AS1",1,0,0,1,1
"STK40",196,33,116,90,109
"STKLD1",8,2,4,4,3
"STMN1",352.03,63,375,164,262
"STMN2",14,2,15,11,4
"STMN3",26,2,17,24,10
"STMN4",1,0,0,0,0
"STMND1",0,0,0,0,1
"STOM",500.96,70,386,413.89,204.01
"STOML1",17,4,9,11,11
"STOML2",101,21,92,69,69
"STOML3",0,0,0,0,0
"STON1",142.56,24,56,66,32
"STON1-GTF2A1L",18.99,0,0,0,0
"STON2",678.97,127.32,815.16,633.14,392.04
"STOX1",56,19,25,57,38
"STOX2",74,18,28,72,36
"STPG1",33,10,37,16,15
"STPG2",2,3,2,3,0
"STPG2-AS1",0,0,0,0,0
"STRA13",25,4,15,10,14
"STRA6",4,0,5,0,0
"STRA8",0,0,0,0,0
"STRADA",104,48,81,69,49
"STRADB",74,18,79,84,56
"STRAP",369,75,258,267,235
"STRBP",454,132,395,294,225
"STRC",4,1,9,5,2
"STRIP1",127,42,137,133,84
"STRIP2",66.39,22.98,55.32,33.32,53.57
"STRN",934,230,888,797,451
"STRN3",460,129,473,323,298
"STRN4",178,38,167,160,110
"STS",1130,160,1374,851,671
"STT3A",1350,176,1064,928,573.01
"STT3B",1705,347,1454,1511,862
"STUB1",138.67,42.44,108.91,79.5,102.16
"STX10",66,14,55,25,39
"STX11",60,1,54,34,23
"STX12",591,313,524,869,775
"STX16",523.14,226.8,418.88,415.96,382.98
"STX16-NPEPL1",23.57,15.37,34.17,12.66,0
"STX17",673,212,676,630,457
"STX17-AS1",5,5,4,4,3
"STX18",293,55,304,228,215
"STX18-AS1",8,9,11,9,2
"STX18-IT1",1,1,1,2,0
"STX19",27,23,46,87,53
"STX1A",14,6,17,7,2
"STX1B",8,2,3,3,1
"STX2",105.83,24,81.64,91.3,42.63
"STX3",568.58,116,631,464,346
"STX4",104,42,110,85,87
"STX5",92,22,82,70,58
"STX6",411,75,427,303,166
"STX7",837,145,947,869,403
"STX8",90,26,148,113,79
"STXBP1",50,19,24,41,30
"STXBP2",219,37,154,160,171
"STXBP3",500,124,490,438,297
"STXBP4",105,44,104,113,60
"STXBP5",563.96,155,652,570.92,302
"STXBP5-AS1",8.04,6,13,8.08,1
"STXBP5L",19,5,30,26,12
"STXBP6",40,18,105,16,55
"STYK1",139,55,150,167,186
"STYX",349.84,93.19,360.62,359.16,186.97
"STYXL1",41,13,49,30,42
"SUB1",918,134,835,641,499
"SUCLA2",239,60,259,272,190
"SUCLG1",289,115,273,261,269
"SUCLG2",1076,499,1289,1493,1117
"SUCLG2-AS1",8,5,10,16,4
"SUCNR1",33,0,42,9,3
"SUCO",866,166,778,835,464
"SUDS3",681,174,725,572,384
"SUFU",71,21,52,35,46
"SUGCT",11,5,10,5,7
"SUGP1",106,32,109,76,55
"SUGP2",524.23,238.31,438.02,436.9,333.17
"SUGT1",207,45,194,162,120
"SUGT1P1",0,0,0,1,1
"SUGT1P3",12,4,11,5.44,2
"SULF1",217,15,143,82,14
"SULF2",252,56,234,132,85
"SULT1A1",42.9,16.14,37.52,43.97,65.07
"SULT1A2",4.05,1,1,5.01,3
"SULT1A3",61.99,21.27,48.32,29.26,11.82
"SULT1A4",61.99,21.27,48.32,29.26,11.82
"SULT1B1",554,216,627,836,684
"SULT1C2",3698,988,3195,2322,3125
"SULT1C2P1",61,41,61,76,38
"SULT1C3",15,5,7,6,11
"SULT1C4",6,3,2,5,1
"SULT1E1",1,8,10,8,25
"SULT2A1",7.07,12,15,54.61,24.19
"SULT2B1",0,1,2,0,1
"SULT4A1",8,0,1,0,1
"SULT6B1",0,0,0,0,0
"SUMF1",149,34,133,126,99
"SUMF2",303.79,43.98,250.56,193.77,120.96
"SUMO1",505.4,120.98,478.65,322.67,266.22
"SUMO1P1",1,0,1,0,0
"SUMO1P3",39.6,8.02,15.35,20.33,5.78
"SUMO2",716,96,969,557,424
"SUMO3",198,33,198,176,146
"SUMO4",14,2,6,13,3
"SUN1",776,245,638,671,482
"SUN2",382,76,286,217,154
"SUN3",0,0,2,0,0
"SUN5",0,0,0,0,0
"SUOX",105,56,102.86,104,73
"SUPT16H",854,180,783,624,469
"SUPT20H",350.95,89.66,344.5,292.61,225
"SUPT20HL1",0,0,0,0,0
"SUPT20HL2",1,0,0,0,0
"SUPT3H",60,8,44,50,40
"SUPT4H1",259.97,59.85,274,228,167
"SUPT5H",454,139,419,349,264
"SUPT6H",868,287,700,678,565
"SUPT7L",320.83,130,373.46,347.01,236.96
"SUPV3L1",124,29,102,123,82
"SURF1",44,9,30,23,19
"SURF2",13,5,12,24,12
"SURF4",979,183,678,714,541
"SURF6",76,22,74,76,58
"SUSD1",215,74,206,244,158
"SUSD2",11,5,9,4,9
"SUSD3",14,0,10,5,5
"SUSD4",28,13,15,42,25
"SUSD5",10.64,1,6,10.04,2.08
"SUSD6",600,145,667,483,463
"SUV39H1",23,3,21,20,9
"SUV39H2",127.39,24.94,89.06,102.43,69.97
"SUV420H1",876,276,759,844,546
"SUV420H2",17,0,10,13,0
"SUZ12",496,139.87,375,435,289
"SUZ12P1",11,3.13,9,8,7
"SV2A",22,4,13,5,8
"SV2B",48.73,9.81,47.81,16.79,20.95
"SV2C",7,33.01,60.68,28,23
"SVBP",31,7,33,24,14
"SVEP1",353,15,163,145,93
"SVIL",552.85,106,382.87,324.74,177.71
"SVIL-AS1",199.15,75,151.13,201.26,96.29
"SVILP1",0,0,2,0,0
"SVIP",290,77,365,411,210
"SVOP",24.78,7.62,15.18,24.74,13.09
"SVOPL",0,0,1,1,1
"SWAP70",841.93,86.04,677.87,422.07,230.54
"SWI5",20,12,11,9,10
"SWSAP1",15.68,3,19,18.16,9.61
"SWT1",183,63,184,185,134
"SYAP1",802.8,184.01,854.95,650.07,542.78
"SYBU",43,23,40,35,41
"SYCE1",1,0,0,0,0
"SYCE1L",0,0,2,0,1
"SYCE2",1,3,1,0,0
"SYCE3",0,0,0,1,0
"SYCN",0,0,0,0,0
"SYCP1",0,0,0,1,0
"SYCP2",112,64,140,162,135
"SYCP2L",6,1,1,6,5
"SYCP3",22,3,20,15,6
"SYDE1",9,3,5,5,1
"SYDE2",112.02,55.35,110,114.01,73
"SYF2",261,51,354,304,106
"SYK",833.73,116.79,905.75,522.02,333.74
"SYMPK",202,98,132,148,128
"SYN1",3,4,4,2,0
"SYN2",13,13,3,18,9
"SYN3",1,0,0,0,1
"SYNC",54.86,7.64,22.54,30.13,34.85
"SYNCRIP",1772,401,1407,1310,779
"SYNDIG1",6,5,3,7,2
"SYNDIG1L",2,0,0,0,1
"SYNE1",1576,1002,946,2010,1085
"SYNE1-AS1",0,0,1,0,0
"SYNE2",9235,2774,8727,7504,5416
"SYNE3",92,18,45,37,23
"SYNE4",6,5,12,1,4
"SYNGAP1",68,15,56,52,18
"SYNGR1",40,12,21,31,25
"SYNGR2",469,73,346,298,300
"SYNGR3",4,0,2,2,2
"SYNGR4",1,0,0,0,0
"SYNJ1",215,62,150,167,110
"SYNJ2",479,109,344,293,196
"SYNJ2-IT1",0,0,0,0,0
"SYNJ2BP",752.96,354,773.25,1150.77,608.25
"SYNJ2BP-COX16",1.27,0,0,3.85,2.31
"SYNM",247,29,114,113,94
"SYNPO",309.04,75,132,174,146.02
"SYNPO2",1299.63,165,591.08,571.02,334.08
"SYNPO2L",2.71,5.11,6.4,5.57,6.14
"SYNPR",9,0,2,8,1
"SYNPR-AS1",0,0,0,0,0
"SYNRG",820.7,214.65,583.39,590.3,400.18
"SYP",10,4,14,12,7
"SYP-AS1",0,0,0,0,0
"SYPL1",660,94,487,550,331
"SYPL2",8,0,1,1,1
"SYS1",279,46,229,143,122
"SYS1-DBNDD2",0,0,0,0,0
"SYT1",21,3,7,7,8
"SYT10",15,5,11,9,12
"SYT11",121,25,111,68,27
"SYT12",2,0,0,0,1
"SYT13",58.49,98,177,276,192.16
"SYT14",8,2,3,0,1
"SYT14P1",0,0,0,0,2
"SYT15",88.69,16.04,55.46,67.28,38.91
"SYT16",87,1,72,39,0
"SYT17",21,18,25,12,16
"SYT2",59,22,28,34.02,48
"SYT3",1,0,0,1,0
"SYT4",25,7,33,16,1
"SYT5",2,0,4,1,1
"SYT6",0,0,0,1,4
"SYT7",24,6,9,13,13
"SYT8",5,1,3,3,0
"SYT9",9,6,6,6,6
"SYTL1",116,21,82,63,41
"SYTL2",4412,1322,5218,3786,2729
"SYTL3",45,27,43,76,41
"SYTL4",232,101,262,279,256
"SYTL5",790,179,1139,726,375
"SYVN1",385,31,137,167,121
"SZRD1",265,55,172,171,144
"SZT2",538.13,204.93,397.79,342,229
"T",0,0,0,0,0
"TAAR1",8,0,9,7,2
"TAAR2",0,0,0,0,0
"TAAR3",0,2,1,0,4
"TAAR5",0,0,0,0,0
"TAAR6",0,0,0,0,0
"TAAR8",0,0,0,0,0
"TAAR9",0,0,0,0,1
"TAB1",67.49,31,60,65.67,58
"TAB2",1019,245,780,895,644
"TAB3",383,143,469,465,313
"TAC1",0,0,0,1,0
"TAC3",1,0,2,4,0
"TAC4",3,7,2,2,7
"TACC1",1319,260,925,822,398
"TACC2",464,213,392,398,379
"TACC3",96,14,86,64,80
"TACO1",50,13,40,49,56
"TACR1",21,4,12,12,5
"TACR2",2,2,8,4,2
"TACR3",0,0,0,1,0
"TACSTD2",730,40,344,224,114
"TADA1",82,29,83,68,31
"TADA2A",104,31,99,78,51
"TADA2B",230.22,90.46,180.34,180.03,155.39
"TADA3",210.11,59.86,205.5,152.31,146.13
"TAF1",920.87,318.01,739.92,861.03,499
"TAF10",100,19,101,70,65
"TAF11",119,33,148,103,98
"TAF12",116,22,85,98,63
"TAF13",98,16,107,93,66
"TAF15",266,52,165,195,152
"TAF1A",100,22,91,72,57
"TAF1A-AS1",6,0,11,9,5
"TAF1B",107,20,72,58,42
"TAF1C",127,56,89,80,65
"TAF1D",310,105,265,232,149
"TAF1L",1.47,0,0.09,0,0
"TAF2",430,115,357,345,204
"TAF3",82,28,52,59,63
"TAF4",150,39,112,101,82
"TAF4B",183,25,126,94,47
"TAF5",76,20,52,56,28
"TAF5L",144,39,173,151,125
"TAF6",68,20,64,37.69,38
"TAF6L",19,1,15,12,16
"TAF7",728,198,633,572,420
"TAF7L",0,0,0,1,1
"TAF8",161.93,75.88,149.81,167.95,123.71
"TAF9",218.58,62,267,177.65,113.07
"TAF9B",152,38,159,134,85
"TAGAP",132,8,143,65,38
"TAGLN",440,62,235,130,146
"TAGLN2",2947,517,2344,1983,2543
"TAGLN3",5,0,3,3,0
"TAL1",19,2,16,6,5
"TAL2",0,0,0,0,0
"TALDO1",445,77,457,304,350
"TAMM41",69,49,50,63,25
"TANC1",363,186,313,352,253
"TANC2",168,137,140,163,156
"TANGO2",88.29,36.91,85.96,69.82,85.03
"TANGO6",140,48,136,116,73
"TANK",335,54,336,213,123
"TAOK1",1925,442,1797,1470,791
"TAOK2",264,77,193,191,182
"TAOK3",857,216,1004,764,672
"TAP1",442.46,78.24,606.31,325.52,849.82
"TAP2",487,88,421,335,508
"TAPBP",993.37,209.14,1124.72,843.13,947.57
"TAPBPL",89,23,110,103,116
"TAPT1",137,52,124,132,95
"TAPT1-AS1",44,13,36,37,25
"TARBP1",336,166,366,303,170
"TARBP2",16,14,17,11,13
"TARDBP",674.98,201,399,514,423
"TARID",13,4,6,6,16
"TARM1",0,0,0,0,0
"TARP",39,9,55,65,58
"TARS",974,179,803,471,336
"TARS2",169.78,58.03,115.81,90.91,89.7
"TARSL2",277,51,199,162,111
"TAS1R1",0,2,1,0,0
"TAS1R2",0,0,0,0,0
"TAS1R3",10,6,1,2,6
"TAS2R1",0,0,0,0,0
"TAS2R10",2,2,1,6,3
"TAS2R13",25,2,15,25,9
"TAS2R14",14,4,10,15,8
"TAS2R16",0,0,0,0,0
"TAS2R19",54.89,16,36,30,34
"TAS2R20",24,12,20,23,17
"TAS2R3",14,5,12,13,6
"TAS2R30",38.14,6,30,22,16.43
"TAS2R31",23.2,5.99,28.97,22.12,15.27
"TAS2R38",0,0,0,0,0
"TAS2R39",1,0,0,1,1
"TAS2R4",19,3,8,8,15
"TAS2R40",0,0,0,0,0
"TAS2R41",1,0,0,0,2
"TAS2R42",0,0,0,2,3
"TAS2R43",21.42,11.21,8.16,19.9,22.43
"TAS2R46",18.35,6.8,6.87,10.98,6.87
"TAS2R5",11,0,2,7,3
"TAS2R50",9,1,10,14,8
"TAS2R60",1,2,0,0,0
"TAS2R7",0,0,0,0,1
"TAS2R8",0,0,0,0,2
"TAS2R9",0,0,0,0,0
"TASP1",96,34,81,86,71
"TAT",2,2,0,0,2.1
"TAT-AS1",0,0,0,0,0
"TATDN1",93,17,86,102,70
"TATDN2",306,133,201,222,178
"TATDN3",144.9,55.71,142.08,150.33,107.38
"TAX1BP1",1500,425,1483,1414,1080
"TAX1BP3",500.05,93.54,432.24,335.16,326.64
"TAZ",29,11,13,23,8
"TBATA",0,0,0,0,0
"TBC1D1",354,49,242,177,109
"TBC1D10A",46,9,35,30,22
"TBC1D10B",91,25,70,52,64
"TBC1D10C",47,11,36,18,14
"TBC1D12",214,45,164,147,74
"TBC1D13",83,36,62,49,61
"TBC1D14",438.61,352.3,471.97,797.85,448.22
"TBC1D15",351.86,108.54,230.4,355.1,172.97
"TBC1D16",166,56,132,136,97
"TBC1D17",33,15,12,25,11
"TBC1D19",74,25,70,82,39
"TBC1D2",37,13,62,27,38
"TBC1D20",254.78,53.09,157.02,192.18,139.08
"TBC1D21",0,0,0,0,0
"TBC1D22A",247.72,85.2,271.16,204.49,163.88
"TBC1D22A-AS1",51.39,13,56.44,39,38.09
"TBC1D22B",71.97,26,53.95,35,38
"TBC1D23",463,96,459,383,206
"TBC1D24",75.35,44.99,56.62,81.29,43.95
"TBC1D25",51,26,33,40,18
"TBC1D26",0,0,0,0,0
"TBC1D28",0,0,0,0,0
"TBC1D29",0,1,0,0,2
"TBC1D2B",456,110,420,303,197
"TBC1D3",31.75,10.49,31.71,21.15,0
"TBC1D30",95,66,53,83,45
"TBC1D31",110,31,124,86,73
"TBC1D32",161,51,197,167,83
"TBC1D3B",0,0,0,0,0
"TBC1D3C",0,0,0,0,0
"TBC1D3F",16.71,8.42,0,11.3,16.99
"TBC1D3H",0,0,0,0,0
"TBC1D3K",0.33,0.22,0.38,1.03,0.44
"TBC1D3L",0,0,0,0,0
"TBC1D3P1-DHX40P1",2.29,0,0,1,0
"TBC1D3P2",0,0,0,0,0
"TBC1D3P5",0,1,0,0,0
"TBC1D4",496,190,322,454,187
"TBC1D5",616,162,574,521.01,283
"TBC1D7",37,7,29,19,15
"TBC1D8",211,166,235,289,205
"TBC1D8B",243,103,229,320,247
"TBC1D9",506,172,452,667,288
"TBC1D9B",435,126,307,358,210
"TBCA",230,92,203,176,144
"TBCB",193.3,32,128.25,89.36,65
"TBCC",92,23,95,52,52
"TBCCD1",148.81,49.32,144.14,96.26,95.72
"TBCD",245,95,205,213,134
"TBCE",131.15,19.9,71.97,94.31,64.1
"TBCEL",208,70,138,171,98
"TBCK",303,125,317,273,209.8
"TBK1",408,103,448,350,292
"TBKBP1",17,3,12,5,13
"TBL1X",176,59,118,134,122
"TBL1XR1",2123,382,2172,1724,1013
"TBL1Y",0,0,0,0,0
"TBL2",212,58,166,120,91
"TBL3",47,6,22,21,24
"TBP",76,35,64,60,31
"TBPL1",70,12,46,72,38
"TBPL2",0,0,0,0,0
"TBR1",0,0,1,0,1
"TBRG1",440.63,140,411,429.63,239
"TBRG4",63,9,46,29,39
"TBX1",1,1,1,1,1
"TBX10",1,0,0,1,0
"TBX15",4,0,5,3,0
"TBX18",0,0,1,0,0
"TBX19",9,3,8,7,10
"TBX2",34,12,27,36,28
"TBX2-AS1",1,0,0,0,0
"TBX20",0,0,0,0,0
"TBX21",18,5,16,6,3
"TBX22",0,0,0,1,0
"TBX3",80,27,18,32,24
"TBX4",0,0,0,0,0
"TBX5",0,0,0,0,1
"TBX5-AS1",0,0,0,0,0
"TBX6",11,2,11,6,6
"TBXA2R",61.47,14.18,31.14,22.22,34.37
"TBXAS1",137,24,113,59,44
"TC2N",1665,345,1674,1509,1293
"TCAF1",720,242,669,728,491
"TCAF2",54.28,20.82,73.81,57.29,51.85
"TCAF2P1",7.55,0,4.79,0,0
"TCAIM",215,58,223,199,151
"TCAM1P",0,0,0,2.57,1
"TCAP",1,0,3,1,0
"TCEA1",1040,224,1007,933,609
"TCEA2",10,1,8,10,6
"TCEA3",331,143,281,390,263
"TCEAL1",33,11,50,44,26
"TCEAL2",9,7,7,10,7
"TCEAL3",59,10,41,41,28
"TCEAL4",114,45,85,91,56
"TCEAL5",0,0,1,0,0
"TCEAL6",1,0,0,0,0
"TCEAL7",14,0,3,6,4
"TCEAL8",244,56,242,186,136
"TCEANC",58,15,52,38,36
"TCEANC2",109,34.07,152,105.09,71.04
"TCEB1",118,23,78,64,48
"TCEB2",74,21,40,22,41
"TCEB3",645.28,303.1,560.87,765.5,532.33
"TCEB3-AS1",51.72,9.9,33.13,34.5,27.67
"TCEB3B",1,0,0,0,0
"TCEB3C",0,0,0,0,0
"TCEB3CL",5,2,2,0,4
"TCEB3CL2",0,0,0,0,0
"TCERG1",676,188,785,465,345
"TCERG1L",0,0,0,0,0
"TCERG1L-AS1",0,0,0,0,0
"TCF12",959,339,700,798,383
"TCF15",0,2,5,1,0
"TCF19",125,25,119,66,60
"TCF20",776,224,637,590,400
"TCF21",117,29,69,87,97
"TCF23",0,0,0,0,0
"TCF24",0,2,0,4,0
"TCF25",313,97,381,218,208
"TCF3",228,34,214,107,66
"TCF4",846,132,663,520,207
