"","atr01","atr02","atr03","gas01","gas02"
"ADAMTSL4",25,12,23,26,15
"ADAMTSL4-AS1",12,0,3,8,2
"ADAMTSL5",10,3,2,6,3
"ADAP1",65,10,44,47,40
"ADAP2",63,16,42,59,29
"ADAR",1923.8,444.14,1685.62,1526.02,1243.64
"ADARB1",152,58,74,90,59
"ADARB2",1,2,2,5,2
"ADARB2-AS1",0,0,0,0,4
"ADAT1",181.16,72.96,174.55,121.9,122.23
"ADAT2",136,45,91,104,65
"ADAT3",5,2,3,0,0
"ADCK1",16,13,34,17,14
"ADCK2",54,8,47,44,43
"ADCK3",192,82,151,257,177
"ADCK4",25,6,25,20,18
"ADCK5",23,1,18,4,8
"ADCY1",28.49,29,19,15,31
"ADCY10",0,0,0,3,1
"ADCY10P1",49,22,39,43,35
"ADCY2",34,7,24,48,14
"ADCY3",88.53,18.09,44.3,25.56,21.21
"ADCY4",28,23,23,19,3
"ADCY5",66,8,40,25,13
"ADCY6",270,141,163,217,207
"ADCY7",252,36,204,132,88
"ADCY8",0,2,0,3,5
"ADCY9",228,44,150,108,100
"ADCYAP1",0,1,16,10,0
"ADCYAP1R1",17,0,5,7,0
"ADD1",1147,326,1035,855,812
"ADD2",18,1,2,4,2
"ADD3",2033.99,392,2116.99,1908.97,1189
"ADD3-AS1",2.01,0,2.01,5.03,1
"ADGB",1,0,0,0,1
"ADGRA1",0,0,1,0,1
"ADGRA1-AS1",0,0,0,0,0
"ADGRA2",143,25,94,67,34
"ADGRA3",222,95,176,304,154
"ADGRB1",7,0,5,0,6
"ADGRB2",6,1,8,5,8
"ADGRB3",18,4,8,9,2
"ADGRD1",19,21,17,69,25
"ADGRE1",29,0,25,8,7
"ADGRE2",58.03,13.22,81.65,59.84,32.15
"ADGRE3",11,0,15,3,8
"ADGRE4P",28.02,5.13,9.13,15.01,7.02
"ADGRE5",206.97,45.78,119,164.84,95.85
"ADGRF1",84,15,69,63,57
"ADGRF2",0,0,0,0,1.71
"ADGRF3",9,7,6,7,4
"ADGRF4",2,0,0,0,0
"ADGRF5",163,51,69,106,98
"ADGRG1",202,91,145,185,148
"ADGRG2",207,50,278,271,166
"ADGRG3",3,0,6,0,0
"ADGRG4",0,0,0,1,5
"ADGRG5",58,13,29,38,19
"ADGRG6",1224,126,1124,1072,442
"ADGRG7",3,2,5,4,8
"ADGRL1",86,44,42,53,33
"ADGRL2",320,99,156,282,191
"ADGRL3",219,80,176,186,105
"ADGRL3-AS1",0,0,0,0,0
"ADGRL4",133,29,55,93,25
"ADGRV1",25,39,22,34,14
"ADH1A",3.02,0,0,2,0
"ADH1B",395.69,20.7,237.81,138.89,111.84
"ADH1C",1721.29,332.3,2339.19,2191.11,1237.16
"ADH4",8,0,3,3,2
"ADH5",680,125,580,469,349
"ADH6",3,0,2,4,4
"ADH7",149,61,157,248,97
"ADHFE1",18,30,18,55,35
"ADI1",560.43,199.13,792.55,699.85,436.96
"ADIG",0,0,0,0,0
"ADIPOQ",0,0,0,0,2
"ADIPOQ-AS1",0,0,0,0,0
"ADIPOR1",507,158,442,442,349
"ADIPOR2",881,290,792,1065,887
"ADIRF",41,9,26,22,11
"ADK",127,45,110,119,81
"ADM",19,21,26,53,48
"ADM2",57.08,14,21.44,11.13,33.01
"ADM5",3,0,5,2,2
"ADNP",1303,391,1103,1132,751
"ADNP-AS1",7,1,19,11,4
"ADNP2",219,76,165,189,113
"ADO",160,32,161,143,98
"ADORA1",10,2,3,5,1
"ADORA2A",0,0,0,1.65,0
"ADORA2A-AS1",5,0,2,5,4
"ADORA2B",22,3,8,10,2
"ADORA3",17,1,4,5,5
"ADPGK",273,41,186,187,121
"ADPGK-AS1",12,0,11,6,6
"ADPRH",63,3,41,28,20
"ADPRHL1",10,5,13,10,6
"ADPRHL2",66,10,54,45,36
"ADPRM",44,14,42,47,28
"ADRA1A",14.16,9.99,9.25,8.09,2.05
"ADRA1B",1,0,2,0,0
"ADRA1D",0,0,0,0,0
"ADRA2A",269,5,245,75,50
"ADRA2B",0,3,0,1,0
"ADRA2C",0,0,1,1,0
"ADRB1",3,4,1,7,2
"ADRB2",100,18,80,65,48
"ADRB3",4,0,0,0,0
"ADRBK1",436,75,368,211,206
"ADRBK2",239.83,44.55,335.15,185.15,97.4
"ADRM1",89,18,88,45,51
"ADSL",157,26,159,105,100
"ADSS",389,111,388,436,315
"ADSSL1",15,12,6,14,11
"ADTRP",550,178,909,532,978
"AEBP1",293,49,119,124,101
"AEBP2",315,64,230,256,168
"AEN",67,8,48,34,24
"AES",438,100,488,395,306
"AFAP1",246.38,33,177.45,168,88.86
"AFAP1-AS1",238.62,19,194.55,25,6.14
"AFAP1L1",32,8,26,20,9
"AFAP1L2",54,25,37,22,13
"AFF1",1560,414,1330,1398,1023
"AFF2",45,2,58,9,12
"AFF3",289.31,69.44,303.31,139,102
"AFF4",2461,589,2222,2019,1321
"AFG3L1P",95,31.79,85,72.97,36
"AFG3L2",572,193,527.2,476.32,436
"AFM",0,4,0,2,1
"AFMID",92.25,47.34,81.38,63.07,62.89
"AFP",0,0,1,1,1
"AFTPH",1026,311,931,815,563
"AGA",169,34,149,216,105
"AGAP1",342,151,307,340,179
"AGAP1-IT1",14,3,11,6,12
"AGAP11",42.14,13.5,32.54,36.54,20.26
"AGAP2",46.09,5,68.27,20,19.52
"AGAP2-AS1",10.91,0,3.73,1,5.48
"AGAP3",91,32,64,70,34
"AGAP4",104.58,43.25,104.1,76.86,56.52
