"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ISG20",129.582060801952,-0.839993138005813,0.3726190405295,-2.25429472635688,0.0241776328829367,0.999986993796386
"PDK4",318.61186666665,-0.761540089076897,0.337991337836679,-2.25313492928887,0.0242506427020742,0.999986993796386
"PGRMC2",588.549541999682,-0.581852350206071,0.258243040686226,-2.25311918826514,0.024251634920664,0.999986993796386
"NFASC",67.9699281083752,1.41528350469087,0.628200502959393,2.25291686018016,0.0242643915885777,0.999986993796386
"CA9",325.934124060261,-1.26830064637494,0.563101836698927,-2.25234684690447,0.0243003618749809,0.999986993796386
"IL4R",186.609354787845,0.655670614177147,0.292170408123969,2.24413765373166,0.0248235459427856,0.999986993796386
"EBF1",54.9834138029886,1.33987503034447,0.597156426590217,2.24375887235309,0.0248479199178893,0.999986993796386
"COX5B",238.797696553328,-0.712830603262718,0.317878501605808,-2.24246244921174,0.0249314996066367,0.999986993796386
"GPRASP1",101.550891046613,0.915209762558185,0.408391043644488,2.24101330526458,0.0250252131692892,0.999986993796386
"LTF",2660.04624119264,2.35645444220054,1.05158692841314,2.24085558552582,0.0250354310041571,0.999986993796386
"BLOC1S5-TXNDC5",3.81015114085426,-5.63265044570433,2.51697633104226,-2.23786389098538,0.0252299324054607,0.999986993796386
"LIPH",415.38650313846,-0.655549832932355,0.293154240483204,-2.23619427046942,0.0253390483689673,0.999986993796386
"AXIN2",170.611748597689,0.756611903202983,0.339189800571814,2.23064461822693,0.0257046788116435,0.999986993796386
"TXN",323.807274056366,-0.916326739777057,0.411908911531864,-2.2245858589689,0.0261090528136672,0.999986993796386
"ZNF23",58.5592580461166,1.07948017923835,0.485367787228984,2.2240457806259,0.0261453642401507,0.999986993796386
"HPRT1",136.740930385601,-0.675990527431921,0.304301880253693,-2.2214470934861,0.0263206943509971,0.999986993796386
"LDB2",71.0849742816646,1.1849783582279,0.534295522546125,2.21783321818049,0.0265662062810357,0.999986993796386
"PDHX",209.219853080606,-0.63794936756971,0.287694044361714,-2.2174576779477,0.0265918320543148,0.999986993796386
"SGK1",368.236304751232,-1.00671752431385,0.454944457587583,-2.21283611114231,0.0269089466800917,0.999986993796386
"CCR4",14.5867368245799,1.87316443522416,0.847166981879394,2.21109235285427,0.0270294424029429,0.999986993796386
"STX16-NPEPL1",17.2960848233626,2.1932382836072,0.992214839506993,2.21044696801447,0.027074157190234,0.999986993796386
"IL21R",31.1026764067271,1.40407649993596,0.635307946882406,2.21007230717964,0.0271001444397254,0.999986993796386
"FRMPD1",5.31171081100876,3.17592505230727,1.4373979383907,2.20949603967222,0.0271401575689155,0.999986993796386
"PARVG",45.217065425462,1.08857169179827,0.493727269924148,2.2048036600561,0.0274678751102568,0.999986993796386
"STAG3L2",101.264321192886,0.926659585672111,0.420322679358738,2.20463855789524,0.0274794678092936,0.999986993796386
"ALPK2",30.7134156330298,1.88242788697846,0.85534341079761,2.2007860973911,0.0277511702624558,0.999986993796386
"UMAD1",141.86450400351,-0.699302114253765,0.31797915935205,-2.19920738100805,0.0278631797524637,0.999986993796386
"TNC",120.014315986917,1.42755222455875,0.649843408806363,2.19676341286725,0.028037347340058,0.999986993796386
"EIF4EBP3",12.4993052552385,-1.7044289733877,0.77656328192876,-2.19483590462117,0.0281753709216722,0.999986993796386
"FGR",18.0606227702435,1.92596090370845,0.880276227967139,2.1879051626285,0.0286765111733563,0.999986993796386
"RPLP1",1887.09615870827,-1.01152060319376,0.462653171343065,-2.18634749710534,0.0287901916592922,0.999986993796386
"SMN2",3.46043584079097,-5.53177908768844,2.53120727201598,-2.18543109797668,0.0288572528011805,0.999986993796386
"LINC01588",30.2627732182967,1.29886399962939,0.59450817477849,2.18477063013194,0.0289056685070486,0.999986993796386
"CD83",86.9782123627246,1.45374960471352,0.666191569734623,2.18217952726814,0.0290962856390663,0.999986993796386
"MRO",44.1864334184903,-1.04795024246088,0.480522863691867,-2.18085406885628,0.0291942119045253,0.999986993796386
"FBP2",105.033911877159,-0.791313179281647,0.363134793521948,-2.17911693783708,0.0293229822967988,0.999986993796386
"CTGLF12P",9.04851136117697,3.99575525076784,1.83952172741372,2.17217072852175,0.02984278767879,0.999986993796386
"CD37",56.1135401447579,1.34049116918775,0.618380834441588,2.16774371799257,0.0301781911878462,0.999986993796386
"COL11A2",12.9250814893745,3.10802245765727,1.43490042331662,2.16601961164204,0.0303096883364748,0.999986993796386
"HIVEP3",86.4033907742592,0.774466240649828,0.357631229662517,2.16554421542174,0.0303460331545689,0.999986993796386
"AFAP1L2",30.7635127082977,1.27628723931935,0.590258751054539,2.16225043176263,0.0305988781740418,0.999986993796386
"CXCL8",9.88422981711648,1.93984939915747,0.89795581275505,2.16029494057814,0.030749844394529,0.999986993796386
"DCC",28.2496969238445,1.65561184511878,0.766614118234283,2.15964173596502,0.0308004148501501,0.999986993796386
"AIM2",40.9008183464337,1.58588169881077,0.734794423216429,2.15826583423001,0.0309071694579391,0.999986993796386
"LOC101929378",33.9422947061354,-1.68718677966167,0.784738390383091,-2.14999903195512,0.0315552913546908,0.999986993796386
"GBP1P1",3.63189762294905,-3.24170152500104,1.50889211406042,-2.1483984804438,0.0316821134056364,0.999986993796386
"LRRC37A",69.0819326735957,1.35114902411651,0.629180469109096,2.14747451717582,0.0317555237966119,0.999986993796386
"PIGL",42.8789958896165,1.23481622262848,0.575594817725074,2.14528724825711,0.0319298874176946,0.999986993796386
"CLSTN3",60.4808095639837,0.870403195901686,0.406799916793071,2.13963464585574,0.0323843044238745,0.999986993796386
"PALD1",21.2522022372606,1.38726594436993,0.648433543329086,2.13941113725802,0.0324023857452081,0.999986993796386
"LOC100652999",3.69122069733956,5.0856337713257,2.38028576543047,2.13656437608699,0.0326334396933842,0.999986993796386
"HCN4",8.82985468036407,-2.54403778265234,1.19091212967295,-2.13620948117389,0.0326623429951886,0.999986993796386
"SLC13A4",5.08839189493952,3.94491560034917,1.84712459160346,2.13570628547836,0.0327033617664021,0.999986993796386
"UGT1A1",9.96658243466927,2.35245328311181,1.10203621383242,2.1346424496623,0.0327902272168552,0.999986993796386
"POLH",138.998860980074,0.644689028845378,0.30205192928033,2.13436487686543,0.0328129243572868,0.999986993796386
"CYSTM1",1539.52057056103,-0.595984888273084,0.279466465853989,-2.13258104671658,0.0329591094795857,0.999986993796386
"P2RX5",17.2310888397534,2.1449575701476,1.00659187138278,2.13091087970045,0.0330964849096836,0.999986993796386
"SACS",280.774077278043,0.582240213590979,0.27336701822617,2.12988464142102,0.0331811384333031,0.999986993796386
