"","ctl","atr"
"WDR75",188.385759817541,197.888967324994
"WDR76",73.960649476135,84.6496495203549
"WDR77",57.0997400258974,68.4937829027214
"WDR78",18.9263762186921,14.0337054120434
"WDR81",40.4282078550336,64.2330455569268
"WDR82",449.854363197023,461.635980498067
"WDR83",12.8787755671185,19.2136538435865
"WDR83OS",30.4723165231862,40.1869804701856
"WDR86",0.706843074334096,0
"WDR86-AS1",0,0.848176884889295
"WDR87",1.12461315845164,1.17911446834423
"WDR88",4.47887255044092,0.669062565565207
"WDR89",90.5866459996829,94.876159804514
"WDR90",10.1582848893969,16.7210043694621
"WDR91",81.2392104061728,65.834811798547
"WDR92",35.4602314059006,45.5408715187949
"WDR93",0.903917474861287,0.924035261454472
"WDSUB1",38.1009772545793,43.9886880331181
"WDTC1",164.652364075888,180.194962117484
"WDYHV1",23.3837372856572,34.5383061426627
"WEE1",109.018785513132,117.710133475559
"WEE2",1.99725561574055,1.39119015157744
"WEE2-AS1",10.8747588539283,6.3682651815011
"WFDC1",22.3836267653773,18.0794510340709
"WFDC10B",0.484922384304118,0
"WFDC12",0,0.242471483496051
"WFDC2",3.32874943807791,8.10813095678431
"WFDC21P",1.91766319986582,4.09634776068712
"WFDC3",1.51737070302516,1.01364956003798
"WFDC8",14.6337126182547,9.88979010769486
"WFIKKN1",0,0.213990670021853
"WFIKKN2",0.5604048294378,0.214104458159832
"WFS1",46.1316484899102,56.2501557547594
"WHAMM",133.688743939854,128.326455844471
"WHAMMP1",109.910610448187,89.9854612731715
"WHAMMP2",41.5835694831376,45.2995631155511
"WHAMMP3",47.5605181480805,50.5709217792935
"WHSC1",434.411937782182,519.403757195647
"WHSC1L1",764.551513750413,783.127825073462
"WIBG",50.0630324049368,46.3730915007494
"WIPF1",312.220298570461,373.928334302488
"WIPF2",338.228733857657,293.492882817988
"WIPF3",74.3299047092576,83.6163983240274
"WIPI1",85.3243394642063,85.7211579180223
"WIPI2",135.200543337736,138.543837180328
"WISP1",6.36524404638083,10.0013673296237
"WISP2",0.559072071554263,0
"WISP3",1.39406085380447,0.919699126926616
"WIZ",41.1765632173664,43.1334540927079
"WLS",247.022961946541,229.314029866994
"WNK1",1155.13638168021,1170.76657922241
"WNK2",45.4673465604588,55.6390078311342
"WNK3",25.006420685536,20.5515371762516
"WNK4",14.7876615692732,10.6532604084206
"WNT1",1.19912876622306,0
"WNT10A",3.83854713868109,3.66544404103617
"WNT10B",2.39803440080649,2.14033868233241
"WNT16",7.43859344012305,6.02019426692345
"WNT2B",26.1917113218089,26.4072989689413
"WNT3",3.99974419200914,5.91309793426264
"WNT4",25.1140036408919,21.0585210043691
"WNT5A",75.8274293368415,62.2916638863991
"WNT5B",23.5110976824518,19.2111257084199
"WNT6",0,0.45511317216546
"WNT7B",19.4326629359389,16.6696958241488
"WNT8B",0.399861387106864,1.68510548837046
"WNT9A",0.558760860319351,0.669207507938568
"WRAP53",7.49072989622455,4.20434730133216
"WRAP73",19.1940653578528,23.6783666283044
"WRB",41.6642044636741,32.1762584324928
"WRN",205.837183814869,218.237732713512
"WRNIP1",86.1164355028429,93.2737862413316
"WSB1",569.598391698574,573.122703731384
"WSB2",265.221765572318,244.779050757916
"WSCD1",11.1941237018653,11.6163422868674
"WSCD2",22.3065059929909,23.289430905412
"WTAP",321.59680985127,301.105624429496
"WTAPP1",2.39742170619981,15.3849637726048
"WTH3DI",0,1.12366670353863
"WTIP",5.35684046230167,5.0020608993085
"WWC1",257.740280229679,210.919683149175
"WWC2",382.365298912674,322.170072829925
"WWC2-AS1",2.05976172272783,0
"WWC2-AS2",3.11851120241095,0.936885316539012
"WWC3",139.087564625507,158.682301081295
"WWOX",40.7514904991431,32.2799134180996
"WWP1",852.233142407526,781.033715086063
"WWP2",296.826421979409,297.114238515158
"WWTR1",180.76787116746,185.576840940543
"WWTR1-AS1",1.11892584963548,0
"XAB2",62.6134947678953,67.4257109516899
"XAF1",1019.31600200675,720.637526412899
"XBP1",1233.31569271931,1249.95874738942
"XCL1",3.20358190488428,3.7247633794822
"XCL2",1.91739296665019,0.45678903602249
"XCR1",0.818992196525151,2.6023112821494
"XDH",63.0219400668719,94.1787379407986
"XG",0.800865659151121,6.0612500682748
"XIAP",786.456239156398,705.263053334889
"XIRP1",0.572531786094154,0.820330351525227
"XIRP2-AS1",0.399943305635359,0
"XIST",12417.3724611934,11435.5113946766
"XK",353.451335346157,263.542450847182
"XKR3",0.400093847682267,0.213950707537805
"XKR4",6.15764555215903,5.51169617486237
"XKR6",7.27844724070052,7.30492875768845
"XKR7",0.798979720660168,0
"XKR8",21.5121601290115,20.5481307089289
"XKR9",90.9364136611113,67.9603222746409
"XKRX",2.71836262853084,2.00678235448994
"XPA",110.315400703822,105.172063356094
"XPC",144.657059254012,183.329476961349
"XPNPEP1",226.46083372119,207.915077580888
"XPNPEP2",4.3215719284423,3.96047391521157
"XPNPEP3",222.73329299072,166.135860930875
"XPO1",751.967830818399,777.355529510827
"XPO4",252.521868624012,285.918139658261
"XPO5",126.6337434436,163.049043296937
"XPO6",215.511663603164,281.163251111143
"XPO7",379.873721457239,370.581351527964
"XPOT",340.938977974542,412.206782118794
"XPR1",126.646929315793,142.220455011774
"XRCC1",55.4967350328794,66.3574729668506
"XRCC2",32.1520918106335,51.7474881110889
"XRCC3",16.9702564257107,20.2741281700327
"XRCC4",56.199300917909,38.4698617366112
"XRCC5",937.19465636515,1065.13369668589
"XRCC6",682.244827067302,699.07215582883
"XRCC6BP1",13.1157291608927,11.5190868117371
"XRCC6P5",0.399761901028985,0
"XRN1",1145.47889120242,1042.91392002783
"XRN2",319.902669904402,349.964219896019
"XRRA1",126.707882105622,141.023213022587
"XXYLT1",26.6707261364421,26.8193475405091
"XXYLT1-AS1",0,0.245183950034545
"XXYLT1-AS2",12.1462511649452,9.45572787110586
"XYLB",77.8076401672543,67.942805590387
"XYLT1",182.380785897088,216.415869271258
"XYLT2",217.817275811744,165.557744114319
"YAE1D1",58.2022544185907,58.9911043664602
"YAF2",149.459771761425,147.449213058061
"YAP1",504.330703164213,468.692980524828
"YARS",258.961014041304,295.315835638536
"YARS2",36.3839475598347,43.7446413860931
"YBEY",21.4459653131939,29.4681040205758
"YBX1",1419.8821621797,1524.26794919299
"YBX2",4.95672577909534,0.801564022355872
"YBX3",144.447553640542,118.011432094316
